entity_name,2018_population,fips,100k_divisor
Alabama,"4,887,871",1000,48.88
Autauga County,"55,601",1001,0.56
Baldwin County,"218,022",1003,2.18
Barbour County,"24,881",1005,0.25
Bibb County,"22,400",1007,0.22
Blount County,"57,840",1009,0.58
Bullock County,"10,138",1011,0.10
Butler County,"19,680",1013,0.20
Calhoun County,"114,277",1015,1.14
Chambers County,"33,615",1017,0.34
Cherokee County,"26,032",1019,0.26
Chilton County,"44,153",1021,0.44
Choctaw County,"12,841",1023,0.13
Clarke County,"23,920",1025,0.24
Clay County,"13,275",1027,0.13
Cleburne County,"14,987",1029,0.15
Coffee County,"51,909",1031,0.52
Colbert County,"54,762",1033,0.55
Conecuh County,"12,277",1035,0.12
Coosa County,"10,715",1037,0.11
Covington County,"36,986",1039,0.37
Crenshaw County,"13,824",1041,0.14
Cullman County,"83,442",1043,0.83
Dale County,"48,956",1045,0.49
Dallas County,"38,310",1047,0.38
DeKalb County,"71,385",1049,0.71
Elmore County,"81,887",1051,0.82
Escambia County,"36,748",1053,0.37
Etowah County,"102,501",1055,1.03
Fayette County,"16,433",1057,0.16
Franklin County,"31,363",1059,0.31
Geneva County,"26,314",1061,0.26
Greene County,"8,233",1063,0.08
Hale County,"14,726",1065,0.15
Henry County,"17,209",1067,0.17
Houston County,"104,722",1069,1.05
Jackson County,"51,736",1071,0.52
Jefferson County,"659,300",1073,6.59
Lamar County,"13,844",1075,0.14
Lauderdale County,"92,387",1077,0.92
Lawrence County,"32,957",1079,0.33
Lee County,"163,941",1081,1.64
Limestone County,"96,174",1083,0.96
Lowndes County,"9,974",1085,0.10
Macon County,"18,439",1087,0.18
Madison County,"366,519",1089,3.67
Marengo County,"19,066",1091,0.19
Marion County,"29,763",1093,0.30
Marshall County,"96,109",1095,0.96
Mobile County,"413,757",1097,4.14
Monroe County,"21,067",1099,0.21
Montgomery County,"225,763",1101,2.26
Morgan County,"119,089",1103,1.19
Perry County,"9,140",1105,0.09
Pickens County,"19,938",1107,0.20
Pike County,"33,338",1109,0.33
Randolph County,"22,725",1111,0.23
Russell County,"57,781",1113,0.58
St. Clair County,"88,690",1115,0.89
Shelby County,"215,707",1117,2.16
Sumter County,"12,691",1119,0.13
Talladega County,"79,828",1121,0.80
Tallapoosa County,"40,497",1123,0.40
Tuscaloosa County,"208,911",1125,2.09
Walker County,"63,711",1127,0.64
Washington County,"16,378",1129,0.16
Wilcox County,"10,627",1131,0.11
Winston County,"23,660",1133,0.24
Alaska,"737,438",2000,7.37
Aleutians East Borough,"3,515",2013,0.04
Aleutians West Census Area,"5,723",2016,0.06
Anchorage Municipality,"291,538",2020,2.92
Bethel Census Area,"18,216",2050,0.18
Bristol Bay Borough,877,2060,0.01
Denali Borough,"2,059",2068,0.02
Dillingham Census Area,"5,000",2070,0.05
Fairbanks North Star Borough,"98,971",2090,0.99
Haines Borough,"2,474",2100,0.02
Juneau City and Borough,"32,113",2110,0.32
Kenai Peninsula Borough,"58,533",2122,0.59
