UID,iso2,iso3,code3,FIPS,Admin2,Province_State,county_state,Lat,Long_,Combined_Key,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20
84004013,US,USA,840,4013,Maricopa,Arizona,Arizona Maricopa,33.3483587,-112.49182,"Maricopa, Arizona, US",0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.07,0.09,0.09,0.18,0.20,0.25,0.50,0.77,1.11,1.84,3.15,4.51,5.69,6.78,9.05,10.29,12.36,15.64,17.86,19.75,21.79,23.78,26.55,30.06,32.49,33.89,35.34,38.29,39.47,42.87,44.43,45.79,46.61,48.65,51.33,54.50,56.47,58.69,59.76,62.07,64.52,67.33,70.64,73.32,76.15,78.37,81.12,84.40,90.05,94.22,100.23,103.94,107.71,111.74,116.48,117.80,125.26,131.01,132.10,135.75,140.99,143.75,149.60,154.64,160.87,164.14,166.40,169.62,173.29,177.62,180.23,185.38,187.64,189.96,191.52,195.58,201.68,206.57,215.87,222.51,225.28,238.86,250.92,254.57,274.11,289.30,306.01,317.46,325.87,346.45,363.14,385.63,403.33,423.76,439.17,470.98,504.92,541.37,589.41,641.65,683.20,717.52,768.15,793.29,841.87,898.35,960.64,1019.32,1024.21,1101.61,1184.90,1241.37,1313.28,1356.36,1412.29,1471.66,1531.24,1589.84,1658.69,1730.40,1779.21,1816.96,1841.22,1909.61,1960.62,2016.64,2082.59,2128.09,2164.38,2192.50,2244.12,2279.37,2318.00,2371.64,2432.35,2463.77,2493.49,2526.55,2565.13,2603.76,2659.10,2704.49,2726.80,2742.24,2761.03,2790.34,2811.65,2832.10,2846.18,2857.70,2864.91,2874.43,2883.43,2896.58,2909.82,2921.45,2933.24,2937.25,2946.23,2955.88,2965.31,2973.61,2985.38,2987.69,2991.66
84004019,US,USA,840,4019,Pima,Arizona,Arizona Pima,32.0971334,-111.789,"Pima, Arizona, US",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84006001,US,USA,840,6001,Alameda,California,California Alameda,37.6462944,-121.89293,"Alameda, California, US",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.06,0.12,0.30,0.30,0.36,0.60,0.78,0.84,0.84,0.90,1.14,1.32,1.38,1.44,1.50,1.68,1.74,1.74,1.80,2.16,2.22,2.22,2.22,2.58,2.58,2.64,2.64,2.70,2.70,2.76,3.24,3.54,3.60,3.72,4.26,4.44,4.62,4.62,4.62,5.04,5.16,5.22,5.22,5.40,5.46,5.46,5.64,6.12,6.30,6.30,6.60,6.60,6.66,6.84,7.56,7.86,8.46,8.58,8.70,9.06,9.24,10.80,12.78,13.98,15.54,16.56,18.18,19.56,21.12,24.60,27.11,30.53,33.71,37.19,39.11,46.25,49.43,54.77,60.95,65.81,71.09,74.09,83.32,96.28,102.58,108.22,115.48,118.60,124.78,128.43,133.29,139.23,144.21,151.83,160.77,165.99,172.77,188.36,194.24,199.16,204.98,214.64,218.00,225.91,231.13,235.87,242.95,248.17,250.21,255.91,258.49,260.59,267.31,271.51,275.58,283.20,286.62,291.54,294.72,303.48,308.28,313.98,318.66,320.94,326.99,332.09,334.49,339.65,343.67,346.91,348.65,351.23,353.69,357.05,360.23,364.25,367.13,370.01,371.21,373.79,376.00,377.80,378.52,379.18,381.04,382.30,383.56,383.92,385.72,386.44,388.24,390.34,390.94,394.84,395.74,396.52,396.82
84006013,US,USA,840,6013,Contra Costa,California,California Contra Costa,37.919235,-121.92895,"Contra Costa, California, US",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.26,0.26,0.26,0.00,0.26,0.26,0.26,0.26,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.78,0.78,0.78,0.78,0.78,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,1.65,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.96,1.04,1.04,1.04,1.04,1.13,1.13,1.91,1.39,1.65,1.74,1.74,1.74,1.83,1.91,1.91,2.09,2.26,2.26,2.70,2.70,2.87,2.96,3.04,3.13,3.13,3.48,3.48,3.48,3.91,4.17,4.26,4.43,4.43,4.70,4.96,5.39,5.65,5.65,6.17,6.17,6.61,7.04,7.30,7.74,9.57,10.00,10.87,10.96,10.96,11.91,11.91,13.57,14.09,14.26,14.26,15.83,16.09,16.96,17.22,18.09,18.09,18.09,18.26,18.35,22.78,22.78,22.96,23.04,23.04,23.04
84006019,US,USA,840,6019,Fresno,California,California Fresno,36.757339,-119.6467,"Fresno, California, US",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.20,0.20,0.20,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.40,0.40,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,1.11,1.41,1.61,1.71,1.71,1.71,3.52,4.63,5.94,7.04,7.04,7.04,7.04,7.04,8.65,9.86,10.36,10.36,11.37,11.37,11.37,13.58,14.08,14.79,17.40,17.40,17.40,22.43,23.54,24.35,25.15,26.46,26.46,26.46,27.46,29.38,30.58,31.39,32.49,32.49,32.49,33.30,35.92,36.12,36.32,36.42,36.42,36.42,39.34,39.84,39.94,40.34,41.15,41.15,41.15,41.75,42.25,42.35,42.35,42.05,42.15,42.15,42.66
84006029,US,USA,840,6029,Kern,California,California Kern,35.3432943,-118.72778,"Kern, California, US",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.33,0.33,0.33,0.33,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.00,1.00,1.00,1.00,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.45,1.56,1.56,1.78,1.78,1.78,1.90,1.90,1.90,1.90,2.01,2.01,2.12,2.12,2.56,2.56,2.68,2.68,2.68,3.57,3.79,3.79,4.68,4.68,4.68,4.68,4.68,7.36,8.25,9.70,9.70,9.70,9.70,11.48,11.48,12.82,13.60,13.60,13.60,13.60,13.60,16.28,17.06,17.73,18.28,18.28,18.28,19.62,20.40,21.18,22.30,23.86,23.86,23.86,24.41,26.42,27.98,27.98,29.54,29.54,29.54,29.54,33.78,34.67,35.12,36.23,36.23,36.23,37.01,37.01,38.57,39.24,40.13,40.13,40.13,40.13,48.61,48.61,48.61,48.61,48.61,45.37,46.04,46.93,47.16,47.16,47.27,47.38,47.38,47.38
84006037,US,USA,840,6037,Los Angeles,California,California Los Angeles,34.3082838,-118.22824,"Los Angeles, California, US",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.04,0.05,0.05,0.12,0.13,0.15,0.29,0.33,0.47,0.50,0.59,0.82,1.09,1.41,1.71,2.08,2.28,2.36,2.49,2.68,3.00,3.33,3.67,3.92,4.31,4.57,5.27,5.59,5.72,6.04,6.16,6.36,6.64,6.76,6.92,7.27,7.47,8.01,8.19,8.38,8.57,8.84,9.29,9.59,9.94,10.05,10.34,10.62,11.21,11.54,12.15,12.41,12.73,13.02,13.29,13.78,14.13,14.58,14.99,15.21,15.55,15.88,16.27,16.77,17.39,18.05,18.51,18.56,19.21,19.86,20.54,21.23,22.26,22.98,23.51,23.93,24.36,25.07,26.22,26.91,27.65,28.40,29.11,29.84,30.97,31.61,32.47,33.32,34.16,34.75,35.52,36.67,37.53,38.49,39.23,40.07,40.65,41.38,42.55,42.94,44.31,45.00,46.06,47.18,48.87,50.47,50.76,51.90,53.13,54.85,56.99,59.16,61.30,62.73,64.34,65.32,66.88,68.48,70.00,71.57,76.47,83.58,91.37,99.62,110.71,121.94,132.20,140.43,144.97,148.46,167.19,171.62,182.18,191.32,196.73,203.30,204.34,210.05,212.08,214.96,217.78,223.89,233.36,241.84,247.33,249.15,252.32,256.16,259.91,262.91,265.07,266.85,268.99,268.99,270.91,273.68,276.22,278.45
84006059,US,USA,840,6059,Orange,California,California Orange,33.7014752,-117.7646,"Orange, California, US",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.13,0.13,0.19,0.25,0.35,0.41,0.41,0.41,0.56,0.56,0.60,0.60,0.60,0.60,0.60,0.63,0.63,0.66,0.66,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.85,0.88,0.88,0.91,0.91,1.00,1.00,1.04,1.04,1.04,1.04,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.10,1.10,1.10,1.10,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.19,1.19,1.19,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.29,1.32,1.32,1.29,1.29,1.41,1.41,1.48,1.51,1.54,1.54,1.54,1.57,1.60,1.63,1.63,1.69,1.98,2.04,2.39,2.39,2.61,2.64,2.64,3.17,3.26,3.48,3.52,3.55,3.70,3.92,4.02,4.46,4.46,4.55,4.55,4.55,4.58,4.80,4.80,4.80,4.83,4.96,4.96,5.02,5.02,5.02,5.02,5.02,5.05,5.05,5.05,5.08,5.08,5.08,5.08,5.08
84006065,US,USA,840,6065,Riverside,California,California Riverside,33.7431498,-115.99336,"Riverside, California, US",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.12,0.16,0.29,0.33,0.49,0.49,0.69,0.86,1.06,1.06,1.22,1.26,1.26,1.31,1.31,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.47,1.47,1.47,1.55,1.55,1.47,1.51,1.51,1.51,1.51,1.59,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.71,1.96,2.00,2.00,2.04,2.04,2.04,2.04,2.04,2.12,2.12,2.12,2.12,2.24,2.33,2.33,2.90,3.06,3.06,3.06,3.35,3.75,3.75,4.12,4.41,4.41,4.41,4.61,4.61,4.77,5.02,5.02,5.26,5.26,5.26,6.16,6.32,6.49,6.65,6.65,6.65,6.65,7.47,7.55,8.04,8.32,8.32,8.32,9.30,9.42,9.87,10.24,10.40,10.40,10.40,10.40,11.14,11.75,11.95,12.20,12.20,12.20,12.20,12.89,12.89,13.10,13.10,13.14,13.14,14.57,14.57,14.57,14.57,14.77,15.18,15.22,15.22,15.71,16.08,16.24,16.36,16.56,16.77,17.18
84006067,US,USA,840,6067,Sacramento,California,California Sacramento,38.4510683,-121.34254,"Sacramento, California, US",0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.19,0.19,0.19,0.19,0.19,0.26,0.32,0.32,0.39,0.58,0.91,0.91,1.10,1.43,1.88,3.44,4.22,5.06,6.16,8.11,9.86,12.13,16.61,20.83,26.15,27.97,30.11,32.58,39.33,42.57,46.14,51.01,54.12,57.24,60.42,65.93,70.02,73.85,79.23,82.87,83.26,84.30,89.29,92.47,97.40,100.97,106.16,108.76,109.73,113.76,118.56,119.73,127.77,134.59,137.96,139.58,146.14,155.29,164.63,171.06,178.00,182.93,186.44,194.94,200.65,210.25,219.34,227.26,230.82,233.74,243.28,257.50,267.68,273.98,283.97,287.74,292.02,307.72,314.15,320.64,334.65,346.27,354.90,361.97,366.39,372.74,384.36,395.85,406.29,420.12,426.61,433.35,440.17,458.40,475.08,482.80,488.45,494.09,502.08,518.30,529.07,536.60,556.33,568.40,583.97,596.82,602.99,621.41,648.15,676.31,687.54,696.76,714.86,746.98,776.12,808.70,818.17,847.76,898.31,935.30,977.61,1023.88,1050.68,1093.71,1160.42,1225.96,1312.46,1396.30,1469.82,1551.01,1603.83,1638.87,1695.00,1754.12,1810.77,1837.05,1882.61,1909.54,1945.88,2010.12,2059.90,2118.62,2164.70,2203.31,2230.56,2248.28,2260.42,2288.90,2321.74,2348.86,2390.20,2426.41,2453.80,2470.21,2474.43,2512.07,2514.86,2535.76,2572.42,2629.92,2629.92,2714.02,2736.60,2780.92,2814.21,2836.40,2850.42,2869.05,2888.19,2916.03,2940.17,2972.16,2982.09,3005.00
